Hinglish,hindi
khwaaish,ख्वाइश
martaba,मर्तबा
chatora,चटोरा
garama,गरमा
sarfira,सरफिरा
dalile,दलीले
vakaalat,वकालत
nuske,नुस्के
karimat,करिमत
kareemat,करिमत
loving,लविंग
luving,लविंग
feeling,फीलिंग
maamooli,मामूली
maamuli,मामूली
roshanaai,रोशनाई
pahanaayenge,पहनायेंगे
barasana,बरसना
ubharana,उभरना
banaavati,बनावटी
raston,रस्तों
pighalaaun,पिघलाऊँ
pehnaate,पहनाते
pahanaate,पहनाते
saahebaan,साहेबान
gumanaam,ग़ुमनाम
joton,जोतों
sheraan,शेराँ
vaalie,वालिए
vaaliye,वालिए
jotaan,जोताँ
pahaadaan,पहाड़ाँ
meharaan,मेहराँ
mehraan,मेहराँ
dvaara,द्वारा
dwara,द्वारा
nivaare,निवारे
nahayen,नहाएँ
ummidavaar,उम्मीदवार
ummeedvaar,उम्मीदवार
ummidawaar,उम्मीदवार
ummeedawaar,उम्मीदवार
bachegi,बचेगी
imtahaan,इम्तहान
hataao,हटाओ
hataayo,हटाओ
marungi,मारूँगी
ginoge,गिनोगे
jhijakne,झिझकने
chaante,छानते
taante,तानते
sisakanaa,सिसकना
sisakna,सिसकना
naazaneena,नाज़नीना
naazaninaa,नाज़नीना
tujhsi,तुझसी
maanush,मानुश
amaanush,अमानुश
daudegi,दौड़ेगी
gaah,ग़ाह
muskane,मुस्कानें
jagwaale,जगवाले
janami,जनमी
beshak,बेशक
jaanejigar,जानेजिगर
choduungaa,चोड़ूँगा
sameto,समेटो
mausiqii,मौसिक़ी
tehani,टेहनी
jhingaapur,झिंगापुर
taakur,ताकुर
takur,तकुर
rukmini,रुक्मिनी
lapat,लपट
thaakur,ठाकुर
thaakoor,ठाकोओर
vihataang,विहतांग
jhamatiki,झमतिकि
suyaatiki,सुआतिकि
nupur,नूपूर
baajat,बाजत
chintaamani,चिन्तामनि
kokil,कोकिल
balat,बलत
sarv,सर्व
bidhi,बिधी
krishn,कृष्न
doraahon,दोराहों
naapi,नापी
paradon,परदों
modoon,मोड़ूँ
ginoon,गिनूँ
bisarat,बिसरत
ghadiyon,घड़ियों
dohraaen,दोहराएं
itaraayein,इतराएं
itaraaen,इतराएं
muskaaen,मुस्काएं
sharamaaen,शरमाएँ
agarache,अगरचे
kaatun,काटूँ
kaatuun,काटूँ
kaatoon,काटूँ
tero,तेरो
paniya,पनिया
paniyaa,पनिया
bharamaana,भरमाना
kahalaaya,कहलाया
bigadenge,बिगड़ेंगे
phisalaa,फिसला
pukarkar,पुकारकर
stanon,स्तनों
abhilaasha,अभिलाषा
paribhaasha,परिभाषा
gudiyaaghar,गुड़ियाघर
upja,उप्जा
manuhaar,मनुहार
parampara,परंपर
usapaar,उसपार
khushiike,खुशीके
samhalke,सम्हलके
arra,अर्रा
tarra,तर्रा
dhitang,धितंग
jhunaa,झुना
jhuna,झुना
dildaariyaan,दिलदारियाँ
dushavaariyaan,दुशवारियाँ
bujhaayogi,बुझाओगी
jhulasa,झुलसा
tumho,तुम्हो
sametakar,समेटकर
lapetakar,लपेटकर
kisape,किसपे
sha,शा
chhabeela,छबीला
chhabila,छबीला
chabila,छबीला
ruthenge,रूठेंगे
nirlaj,निरलज
karadhaniya,करधनिया
neharu,नेहरू
atyaachaari,अत्याचारी
darinda,दरिंदा
asmat,अस्मत
kaatoge,काटोगे
hisson,हिस्सों
baantoge,बांटोगे
phodo,फोड़ो
hansoongi,हँसूँगी
thigane,ठिगने
naachana,नाचना
taangon,टांगों
sambhaalegi,सम्भालेगी
paalegi,पालेगी
rangaraliyon,रंगरलियों
bhulaiya,भुलैया
chuuha,चूहा
chuha,चूहा
chooha,चूहा
chuhaa,चूहा
moong,मूँग
pakaaegi,पकाएगी
kaaloo,कालू
kaalu,कालू
bilakhta,बिलखता
khushahaali,खुशहाली
khushaali,खुशहाली
ubharta,उभरता
sanvarta,सँवारता
panne,पन्ने
mahakaayenge,महकाएंगे
minnat,मिन्नत
tani,तनी
jangalaa,जंगला
lalal,ललल
bekaraiyun,बेकरारियों
garja,गरजा
garaja,गरजा
vasundhara,वसुन्धरा
mazahabon,मज़हबों
haaro,हारो
kristaan,क्रिस्तान
ajaanon,अजानों
sikhaai,सिखाई
sikhai,सिखाई
jaltarang,जलतरंग
jalatarang,जलतरंग
chaadarein,चादरें
dishayein,दिशायें
rehnewaali,रहनेवाली
dhoodti,ढूँढती
dhundti,ढूँढती
langur,लंगूर
badaam,बदाम
nigahabaan,निगहबान
dilashaad,दिलशाद
abdulla,अब्दुल्ला
anarit,अनरीत
paagaal,पागाल
bikharaane,बिखराने
ulazaaoge,उलझाओगे
ulajhaaoge,उलझाओगे
chhedegii,छेड़ेगी
chhedegi,छेड़ेगी
tadapaatin,तड़पातीं
upay,उपाय
upaay,उपाय
dhrati,धरती
baani,बानी
angara,अन्गारा
tumaka,तुमका
chhuutena,छूटेना
kheti,खेती
dhikkaare,धिक्कारे
kaayi,काई
kayi,काई
vipad,विपद
bujhaavo,बुझावो
lachchhe,लच्छे
jokhuun,जोखूँ
suhaagine,सुहागिने
rijhaaven,रिझावें
kunwaarii,कुँवारी
pahanen,पहनें
rachaaven,रचावें
jubh,जुभ
juban,जुबन
manariyaa,मनरिया
utaran,उतरन
beparda,बेपरदा
julna,जुलना
chikaan,चिकाँ
begaan,बेगाँ
priitaa,प्रीता
pakadaai,पकड़ाई
gati,गति
saadh,साध
khelu,खेलू
sapona,सपोना
angaraaii,अंगराई
dagamagaataa,डगमगाता
dagamagaata,डगमगाता
dhalunga,ढालूँगा
dhiraj,धिरज
gujaaruun,गुजारूँ
bhoolen,भूलें
pachhataate,पछताते
pahate,पहते
muhabbar,मुहब्बर
mahua,महुआ
mahuaa,महुआ
barfeela,बर्फ़ीला
zahareela,ज़हरीला
hatata,हटता
hatataa,हटता
hatta,हटता
jhulasi,झुलसी
rulaare,रुलारे
dukhaare,दुखारे
baandhane,बाँधने
baandho,बाँधो
amiy,अमिय
halaahal,हलाहल
shwet,श्वेत
ratanaar,रतनार
jiyat,जियत
kaminiya,कमिनिया
rasa,रसा
kanwalini,कँवलिनि
phulabagiya,फुलबगिया
saawaliya,सावलिया
baasuriya,बासुरिया
chhatiyaan,छतियाँ
talamalaaye,तलमलाये
ghataavo,घटावो
pakhuriyon,पखुरियों
andera,अंदेरा
bhraat,भ्रात
buzdil,बुज़्दिल
boola,बूला
sunehri,सुनेह्री
jhoolaane,झूलाने
mubaarik,मुबारिक
ubharen,उभरें
haandi,हांडी
baankelaal,बाँकेलाल
ladaaka,लड़ाका
daaliyon,डालीयों
manmor,मनमोर
lahariya,लहरिया
udakar,उड़कर
kacheri,कचेरी
qaanuun,क़ानून
qaanoon,क़ानून
isakuul,इसकूल
iskool,इसकूल
sabaq,सबक़
bhulaaenge,भुलाएंगे
manaaega,मनाएगा
chhuye,छुये
zindagaaniyaan,ज़िंदगानियाँ
samajhaati,समझाती
samajhaatee,समझाती
samjhaati,समझाती
luutanevaale,लूटनेवाले
lootanevaale,लूटनेवाले
hindola,हिंडोला
hinndola,हिंडोला
tapakaaye,टपकाये
damakati,दमकती
daamin,दामिन
nem,नेम
tarahaadaar,तरहादार
dilaadaar,दिलादार
charaka,चरका
pachchhim,पच्छिम
pachhim,पच्छिम
tarasaayi,तरसाई
muaamale,मुआमले
uduun,उड़ूँ
ganvaani,गँवानी
kama,कमा
jataae,जताए
bharaao,भराओ
hataane,हटाने
joganiya,जोगनिया
garajane,गरजने
nachaave,नचावे
bijariya,बिजरिया
baadar,बादर
kachchon,कच्चों
sachchon,सच्चों
anyaayi,अन्यायी
maile,मैले
suraiya,सुरैया
badalawaaya,बदलवाया
chakaraaya,चकराया
kachumar,कचूमर
sakin,सकीं
olle,ओल्ले
raang,रान्ग
hurrr,हुर्र्र
palata,पलता
palataa,पलता
milaayuungi,मिलाऊँगी
milaaoongi,मिलाऊँगी
jagaayuungi,जगाऊँगी
kholin,खोलीं
kholee,खोलीं
giraane,गिराने
saanpon,साँपों
goriyon,गोरियों
jamaadaar,जमादार
pado,पड़ो
roktaa,रोकता
raajadhaani,राजधानी
tadake,तड़के
chuuda,चूड़ा
ghumar,घुमर
jigariya,जिगरिया
tumaro,तुमरो
sasuro,ससुरो
maay,माय
bhaavaj,भावज
chakale,चकले
kumhalaaye,कुम्हलाए
kumhalaae,कुम्हलाए
batiyon,बतियों
tumre,तुमरे
monaalisa,मोनालिसा
role,रोले
tirakit,तिरकिट
bohale,बोहले
dohale,दोहले
jhino,झीनो
barasela,बरसेला
nahinkoyi,नहींकोई
lot,लोट
shila,शीला
rita,रीता
juuli,जूली
nima,नीमा
kamiz,कमीज़
kameez,कमीज़
naati,नाटी
mashin,मशीन
jhin,झिन
shivaay,शिवाय
bareli,बरेली
suljhaai,सुलझाई
jhukake,झुकाके
jhukaake,झुकाके
hathapaayi,हाथापायी
haathapaayi,हाथापायी
jaanane,जानने
jaanne,जानने
kholata,खोलता
kholta,खोलता
kholane,खोलने
kholney,खोलने
chillaate,चिल्लाते
masarati,मसरती
indradhanush,इंद्रधनुश
brindaaban,ब्रिंदाबन
khut,खुट
chham,छुम
haak,हाँक
kandilein,कंदीलें
aalaam,आलाम
shiddat,शिद्दत
bewaqt,बेवक़्त
rachegi,रचेगी
rachege,रचेगी
kaayadaa,कायदा
vuun,वून
khorii,खोरी
chiil,चील
katoraa,कटोरा
bhikhaaran,भिखारन
anvar,अन्वर
patthariilii,पत्थरीली
lachakaeeye,लचकाइये
lachakaaiye,लचकाइये
chhalakaaen,छलकाएं
laharaaiye,लहराइये
janchataa,जंचता
chhutkar,छुटकर
chhutakar,छुटकर
masalte,मसलते
masalate,मसलते
chheduunga,छेड़ूंगा
lutaayuungi,लुटाऊंगी
lutaungi,लुटाऊंगी
nihaarein,निहारें
ruuk,रूक
dile,दिले
chilamanase,चिलमनसे
katare,कतरे
qatre,कतरे
piyaalon,पियालों
ghabaraaiye,घबराइये
ghabraiye,घबराइये
faramaaiye,फ़रमाइये
farmaiye,फ़रमाइये
faramaayiye,फ़रमाइये
lar,लर
amaruud,अमरूद
lagn,लग्न
murajhaaya,मुरझाया
nihaarenge,निहारेंगे
patr,पत्र
patra,पत्र
gaayuungi,गाऊंगी
gaaoge,गाओगे
saale,साले
kaajol,काजोल
shilpa,शिल्पा
manisha,मनीषा
karisma,करिस्मा
sonaali,सोनाली
bendre,बेन्द्रे
prada,प्रदा
mandaakini,मंदाकिनी
sushmita,सुष्मिता
rambha,रम्भा
tvinkal,ट्विंकल
ramaiya,रमैया
ramaiyaa,रमैया
chhodunga,छोड़ूंगा
kashtiyon,कश्तियों
sarpon,सर्पों
bahuroopiyaa,बहुरूपिया
bhaaun,भाऊँ
jataaon,जटाओं
honevaale,होनेवाले
banmaa,बनमा
bulaakar,बुलाकर
lailaaon,लैलाओं
harajaana,हरजाना
dasti,डसती
dasati,डसती
kotawaal,कोतवाल
pataraani,पटरानी
itaraaun,इतराऊँ
darungi,डरूँगी
devara,देवरा
mushtaaq,मुश्ताक़
mudda,मुद्द
gamazaa,ग़मज़ा
shikane,शिकने
zulafe,ज़ुलफ़े
amabarii,अमबरी
daravesh,दरवेश
chhavaay,छवाय
sukhanavaar,सुखनवार
gaaliib,ग़ालीब
qata,क़ता
majalis,मजलिस
tarq,तर्क़
daalenge,डालेंगे
beniyaazi,बेनयाज़ी
hano,हनो
shikan,शिकन
uthoge,उठोगे
uthhoge,उठोगे
haaramoniyam,हारमोनियम
baageshvari,बागेश्वरी
baapare,बापरे
hilaana,हिलाना
vun,वूं
aahaahaa,आहाहा
pappapa,पप्पप
papaloo,पपलू
papeeta,पपीता
papita,पपीता
soniye,सोनिये
boriye,बोरिये
helo,हेलो
vahaanse,वहाँसे
vaayalin,वायलिन
vuunhuun,वूंहूँ
thri,थ्री
maais,माइस
ran,रन
rope,रोपे
poraay,पोराय
povare,पोवरे
yaahuu,याहू
yahoo,याहू
kukudun,कुकुड़ूं
kudun,कूड़ूं
chavanni,चवन्नी
siten,सीटें
khisa,खीसा
darabaan,दरबान
bumbro,बुम्बरो
bumbaro,बुम्बरो
mohabbatein,मोहब्बतें
sochoongi,सोचूँगी
shiqaayate,शिक़ायते
barasaata,बरसाता
barsaata,बरसाता
samjahaata,सम्जहाता
aarazoo,आरज़ोओ
kaaji,काजी
laraje,लरजे
jundhariyaa,जुन्धरिया
banajaare,बनजारे
maase,मासे
baanch,बाँच
baancho,बाँचो
zaalama,ज़ालमा
zaalamaa,ज़ालमा
jangalon,जंगलों
jungelo,जंगलों
junglon,जंगलों
fo,फ़ो
batata,बताता
bataata,बताता
larazata,लरज़ता
lapka,लपका
hotalon,होटलों
arab,अरब
dhadakaata,धड़काता
dhadakaataa,धड़काता
fijaayen,फ़िज़ायें
malaamat,मलामत
faroz,फ़रोज़
faraaz,फ़राज़
tehaari,तेहारी
bichhaden,बिछड़ें
hamazabaan,हमज़बाँ
paasabaan,पासबाँ
padiye,पड़िये
shikara,शिकारा
shikaaraa,शिकारा
barasaayuun,बरसाऊँ
barasaaun,बरसाऊँ
barsaaoon,बरसाऊँ
rachaati,रचाती
mukhi,मुखी
gholuun,घोलूँ
laherao,लहराओ
leheraavo,लहराओ
laharaao,लहराओ
sathaayenge,सताएंगे
piroyaa,पिरोया
piroya,पिरोया
pirohya,पिरोया
jalaayegi,जलाएगी
rach,रच
menhandii,मेंहंदी
likhakar,लिखकर
naazukii,नाज़ुकी
buudaa,बूदा
usatavaar,उसतवार
niim,नीम
gusaar,गुसार
tapakataa,टपकता
tapakta,टपकता
gusal,गुसल
yagaanaa,यगाना
yakataa,यकता
duii,दुई
masaa,मसा
el,एल
senkate,सेंकते
saajishein,साजिशें
lahuluhaan,लहुलुहान
sadaaye,सदाएँ
kursiyon,कुर्सियों
siyaasato,सियासतों
chinaar,चिनार
rind,रिंद
posh,पोश
gindane,गिंदने
modta,मोड़ता
karaayengi,कराएंगी
aakaashon,आकाशों
mubaarakabaad,मुबारकबाद
khusiyon,खुसियों
daamanko,दामन्को
shahrukh,शाहरुख
bachaayega,बचाएगा
khazaoon,खिज़ाओं
locha,लोचा
atka,अटका
ataka,अटका
aafaton,आफ़तों
batalaate,बतलाते
aalaap,आलाप
dilvaala,दिल्वाला
guzaarin,गुज़ारीं
vaarin,वारीं
ujaadi,उजाड़ी
risne,रिसने
cheri,चेरी
pashchhim,पश्छिम
taajadaare,ताजदारे
baadashaahi,बादशाही
tandaanaa,तन्दाना
tarasegaa,तरसेगा
tarsega,तरसेगा
dulaar,दुलार
dular,दुलार
sudama,सुदामा
jharna,झरना
meherbaaniyan,मेहरबानियाँ
davaaon,दवाओं
dawaaon,दवाओं
karaten,करतें
phunke,फूँके
chukaake,चुकाके
ganvaake,गँवाके
basaake,बसाके
hataake,हटाके
ruukhe,रूखे
chambe,चम्बे
nhiin,न्हीं
uruuch,उरूच
rafat,रफ़त
faraamosh,फ़रामोश
nigaahi,निगाही
barapa,बरपा
daka,डाका
makasuud,मकसूद
karishme,करिश्मे
naatajurbaakaari,नातजुर्बाकारी
sadamein,सदमें
anawaar,अनवार
bark,बर्क
tazali,तज़ली
chaaraagaraan,चारागराँ
juluus,जुलूस
nauhaagaraan,नौहागराँ
astaraan,अस्तराँ
kaabaataraan,काबातराँ
mohataaz,मोहताज़
gazadaan,गज़दाँ
karaabon,ख़राबों
hijaabon,हिजाबों
maazi,माज़ी
naginon,नगीनों
jins,जिंस
giraan,गिराँ
aashuftaa,आशुफ़्ता
maraasim,मरासिम
badhaayein,बढ़ायें
lutaayen,लुटायें
turbat,तुर्बत
larazish,लरज़िश
barahami,बरहमी
aastaanon,आस्तानों
marahale,मरहले
zuruuri,ज़ुरूरी
laag,लाग
mitaakar,मिटाकर
barasun,बरसूँ
tapaka,टपका
tapakaa,टपका
yaadagaaren,यादगारें
bigadegi,बिगड़ेगी
chilla,चिल्ला
gavanava,गवनवा
jhulani,झूलनी
bundiya,बूँदिया
phulan,फूलन
belariya,बेलरिया
ambuvan,अम्बुवन
kohariya,कोहरिया
meghava,मेघवा
firo,फिरो
phiro,फिरो
nibh,निभ
chhudaayein,छुड़ायें
khenchi,खेंची
matadaari,मतदारी
katila,कटीला
katilaa,कटीला
mastaaniyaan,मस्तानियाँ
karodon,करोड़ों
barasaakar,बरसाकर
alka,अल्का
pahunchaana,पहुन्चाना
amrakuut,अम्रकूट
vindhyaachal,विन्ध्याचल
vidisha,विदिशा
chamakaakar,चमकाकर
virahan,विरहन
pujaarinon,पुजारिनों
simala,सिमला
chambal,चम्बल
kuru,कुरु
koyalon,कोयलों
shaadamaan,शादमां
qayaamaat,क़यामात
sarakaao,सरकाओ
bhudhu,बुद्धू
janamadin,जनमदिन
pota,पोता
lado,लड़ो
jalo,जलो
sarakas,सरकस
patale,पतले
ring,रिंग
maastar,मास्टर
khaaegaa,खाएगा
bulaaegaa,बुलाएगा
khilavaad,खिलवाड़
vafaadaar,वफ़ादार
wafaadaar,वफ़ादार
bhokataa,भोकता
kursiyaan,कुर्सियाँ
taambuu,ताम्बू
chhatiyaa,छतिया
lalache,ललचे
charaa,चरा
mas,मस
sochiye,सोचिये
dijeeyegaa,दीजियेगा
deejiyega,दीजियेगा
dijiyega,दीजियेगा
lachakataa,लचकता
jaadon,जाड़ों
khinchakar,खींचकर
garamiyon,गरमियों
puravaaiyaan,पुरवाईयाँ
pukaarane,पुकारने
pukaaron,पुकारों
harek,हरेक
hinaayi,हिनाई
aariz,आरिज़
riha,रिहा
dushmanaan,दुश्मनाँ
ranjishon,रंजिशों
judaayiyon,जुदाइयों
safediyaan,सफ़ेदियाँ
zardiyaan,ज़र्दियाँ
alamkasho,अलम्कशो
paimaan,पैमान
tarab,तरब
suraag,सुराग़
maanuus,मानूस
manoos,मानूस
nafas,नफ़स
nava,नवा
fursaton,फ़ुर्सतों
shikastaa,शिकस्ता
shikasta,शिकस्ता
sitamagaron,सितमगरों
hairaton,हैरतों
qissaa,क़िस्सा
zahin,ज़हीन
palein,पलें
jalwaagaah,जल्वागाह
unakoo,उनकोओ
chhaun,छाऊँ
dardva,दरदवा
nikalakar,निकलकर
sinchati,सींचती
sachchhi,सच्छी
sanwaliya,संवलिया
brindaapan,ब्रिंदापन
raakhuun,राखूँ
paasi,पासी
guzaarataa,ग़ुज़ारता
utaarataa,उतारता
utaarata,उतारता
uchhaalataa,उछालता
uchhaalata,उछालता
silavat,सिलवट
silwat,सिलवट
tasalim,तसलीम
maahiyaan,माहियां
panj,पंज
baajon,बाजों
saunpiya,सौंपिया
paigambar,पैगम्बर
ramaya,रमया
suyiyaan,सुईयां
chubhaata,चुभाता
sharamaayenge,शरमाएंगे
labarez,लबरेज़
dahakati,दहकती
takaraate,टकराते
marahalon,मरहलों
majaaj,मजाज
aasuudagi,आसूदगी
mukarata,मुकरता
mukarta,मुकरता
sametuun,समेटूँ
bikharata,बिखरता
nikharata,निखरता
nikharta,निखरता
dushnaam,दुश्नाम
hichakiyaan,हिचकियाँ
aatin,आतीं
shirq,शिर्क़
tirachha,तिरछा
ghabaraayenge,घबराएँगे
nisbat,निस्बत
tabasuum,तबसूम
h,हैं
kr,कर
tibar,तिबर
raawita,राविता
dilachasp,दिलचस्प
bansari,बंसरी
sahan,सहन
qayaam,क़याम
haalatein,हालतें
shumaaragi,शुमारगी
ibaadatein,इबादतें
karine,करीने
mubaham,मुबहम
jagaay,जगाय
jhuuta,झूटा
achak,अचक
rovat,रोवत
lipatati,लिपटती
takaraaen,टकराएं
guzarani,गुज़रनी
hansaton,हँसतों
hanston,हँसतों
dipon,दीपों
deepon,दीपों
ponchhein,पोंछें
jugal,जुगल
hakiqat,हकीक़त
takaraayin,टकराईं
rahazan,रहज़न
chhabili,छबीली
jhapakane,झपकने
chhaanenge,छानेंगे
rokte,रोकते
mohabbbat,मोहब्ब्बत
manjuuri,मंजूरी
ruuthegi,रूठेगी
banaayake,बनायके
piihoo,पीहोओ
bhool,भोओल
chhaap,छाप
milaayake,मिलायके
patakii,पटकी
rajevaa,रजेवा
saugandh,सौगन्ध
puujein,पूजें
sanjana,संजना
modoongaa,मोड़ूँगा
sehti,सहती
saihti,सहती
sahati,सहती
ehsaanon,एहसानों
karajva,करजवा
arapbati,अरप्बती
darkaar,दरकार
maanind,मानिन्द
tazkire,तज़्किरे
paajeb,पाजेब
bhujhaa,भुझा
timtimaati,टिम्टिमाती
micholiyaan,मिचोलियाँ
jhulana,झुलना
paahu,पाहु
hatoon,हटूँ
rokoge,रोकोगे
kivaad,किवाड़
vichhohan,विछोहन
palav,पलव
kumhalayi,कुम्हलयी
phulmaala,फुल्माला
japana,जपना
japanaa,जपना
jhapana,झपना
achala,अचला
mali,मली
hit,हित
kheluungi,खेलूँगी
khizaayon,खिज़ायों
sarazamiin,सरज़मीं
gunaayaa,गुनाया
gaakar,गाकर
khuule,खूले
chidiyon,चिड़ियों
fijaa,फ़िजा
mandalaate,मंडलाते
baawareeyaan,भाँवरिया
bakawaas,बकवास
satyaanaas,सत्यानास
baraaton,बरातों
zabaanein,ज़बानें
kava,कवा
chhaliye,छलिये
kalaavati,कलावती
batloungi,बतलाऊँगी
ansoon,आँसों
alkon,अलकों
alko,अलकों
bunoo,बुनो
buno,बुनो
paka,पका
pakaa,पका
takhiye,तखिये
khaare,खारे
rudaali,रुदाली
barfon,बर्फ़ों
naagaraajaa,नागराजा
hunkaarein,हुंकारें
kaalaruup,कालरूप
bhuuchaal,भूचाल
machaate,मचाते
durjan,दुर्जन
sajjan,सज्जन
digant,दिगन्त
darinde,दरिन्दे
nigalane,निगलने
satyaanash,सत्यानश
meni,मेनी
chhinke,छींके
sapoye,सपोये
chaarapaayi,चारपाई
tenuun,तेनूं
musakaanen,मुसकानें
muskaanen,मुसकानें
badanasibee,बदनसीबी
badanasibi,बदनसीबी
bahaaen,बहाएं
kinake,किनके
baandhanevaale,बाँधनेवाले
bisaare,बिसारे
gina,गिना
shaarat,शारत
achambha,अचम्भा
karodo,करोड़ो
chillanaa,चिल्लाना
sarkas,सर्कस
dikhalaana,दिखलाना
paagalakhaana,पागलखाना
chalaaoge,चलाओगे
nakal,नकल
taanasen,तानसेन
sahagal,सहगल
jharokha,झरोखा
maashooqaana,माशूक़ाना
muskaraayen,मुस्कराएँ
janaana,जनाना
bayaanbaan,बयांबां
hirye,हीरिये
galegi,गलेगी
tirange,तिरंगे
karaon,करों
karlon,करों
salma,सलमा
salama,सलमा
sambhaloon,सम्भालूँ
challa,छल्ला
dyodii,द्योड़ी
banere,बनेरे
raanjhadaa,राँझड़ा
baalan,बालन
mulqon,मुल्क़ों
poochhoge,पूछोगे
kaladaar,कलदार
hazam,हज़म
taalamatol,टालमटोल
lalachaaya,ललचाया
tikaaya,टिकाया
kahaaya,कहाया
pachhataave,पछतावे
shital,शीतल
champe,चम्पे
doharaayenge,दोहरायेंगे
baseron,बसेरों
safaayi,सफ़ायी
nazadikiyon,नज़दीकियों
nazadiikiyon,नज़दीकियों
aamad,आमद
duvaayen,दुवाएं
achchhaayi,अच्छाई
zindga,ज़िंद्गा
bemaayani,बेमायनी
diwano,दीवनो
rasabhari,रसभरी
jalapari,जलपरी
aasatinon,आसतीनों
bhuuluungaa,भूलूँगा
jhagadon,झगड़ों
baqavaas,बक़वास
jhik,झिक
kanak,कनक
bigaaro,बिगारो
poochhengi,पूछेंगी
baraseen,बरसीं
thirakati,थिरकती
boondaniyaan,बून्दनियाँ
ujiyaari,उजियारी
baalakapan,बालकपन
choomun,चूमूँ
chuumuun,चूमूँ
chhalakaao,छलकाओ
chamakaao,चमकाओ
dikhalaao,दिखलाओ
rabag,रबग
khelegi,खेलेगी
daregi,डरेगी
daregee,डरेगी
naachate,नाचते
naachte,नाचते
jhumana,झूमना
jhumna,झूमना
mayssar,मयस्सर
rond,रोंद
sholen,शोलें
jhulas,झुलस
madaari,मदारी
ulajhaauun,उलझाऊँ
ulajhaaun,उलझाऊँ
chhipakar,छिपकर
qarbaan,क़र्बान
pilaana,पिलाना
pilaata,पिलाता
gamagusaar,ग़मगुसार
ghamgusaar,ग़मगुसार
paagalpana,पागलपना
phiri,फिरी
uchhalkar,उछलकर
sunanevaale,सुननेवाले
ujaada,उजाड़ा
sharamaaoge,शरमाओगे
nachaata,नचाता
naachega,नाचेगा
totali,तोतली
babaa,बबा
pakalenge,पकलेंगे
sipi,सीपी
seepi,सीपी
banavaake,बनवाके
zaradaar,ज़रदार
iraadon,इरादों
rida,रिदा
mahawash,महवश
fariqon,फ़रिक़ों
jaalib,जालिब
anju,अंजू
neena,नीना
nina,नीना
shalu,शालू
shaalu,शालू
jukaate,झुकाते
america,अमेरिका
sehlana,सहलाना
nahana,नहाना
farmaaogi,फ़रमाओगी
bhhul,भ्हुल
japaani,जपानी
akhi,अखी
film,फ़िल्म
kholiyon,खोलियो
bichaana,बिछाना
filmi,फ़िल्मी
bolunga,बोलूँगा
boluunga,बोलूँगा
tukur,टुकर
bujaani,बुझानी
dukhadon,दुखड़ों
baadashaahon,बादशाहों
baadshahon,बादशाहों
aabaadiyon,आबादियों
nahaati,नहाती
jalapariyaan,जलपरियाँ
lalachaati,ललचाती
qaayal,क़ायल
mansoobe,मन्सूबे
rahake,रहके
navaajish,नवाजिश
mohabaat,मोहबात
baahaar,बाहार
chuumte,चूम्ते
guzariya,गुज़रिया
purvi,पुर्वी
pashchimi,पश्चिमी
takraave,टकरावे
chhaave,छावे
paanchon,पाँचों
bahekaave,बहकावे
parja,परजा
chhaayenge,छायेंगे
darja,दरजा
haanf,हाँफ़
haaqim,हाक़िम
jhukaave,झुकावे
duvidha,दुविधा
saahas,साहस
aasa,आसा
aasaaon,आसाओं
gopi,गोपी
buna,बुना
apanaaungaa,अपनाऊंगा
hilne,हिलने
hilane,हिलने
khreedoge,ख़रीदोगे
khilaataa,खिलाता
khilaata,खिलाता
hyaa,ह्या
say,सय
chuu,चू
chhu,चू
sanvarataa,सँवरता
pukaarengi,पुकारेंगी
paayengi,पाएँगी
jhulasane,झुलसने
numaan,नुमाँ
zalazale,ज़लज़ले
garazadaar,गरज़दार
gheren,घेरें
vahashi,वहशी
wehshi,वहशी
ranjoor,रंजूर
ranjuur,रंजूर
aazamaaoon,आज़माऊँ
aazamaauun,आज़माऊँ
aazamaao,आज़माओ
aajamao,आज़माओ
pahanaai,पहनाई
pahanaaii,पहनाई
ruqasaar,रुक़सार
bujahata,बुजहता
ubharoon,उभरूँ
here,हेरे
laanat,लानत
uchhalati,उछलती
rafataar,रफ़तार
raqeebon,रक़ीबों
habeebon,हबीबों
miliega,मिलिएगा
mahazabeenon,महज़बीनों
mahazabeeno,महज़बीनों
tasveeron,तस्वीरों
basaate,बसाते
nahaane,नहाने
gholti,घोलती
kaaron,कारों
girebaanon,गिरेबानों
kharidi,खरीदी
tamiz,तमीज़
paalanhaare,पालनहारे
paalanahaare,पालनहारे
nirgun,निरगुन
kaunon,कौनों
suljhaao,सुलझाओ
sanwaaroge,सँवारोगे
prabhuji,प्रभुजि
chherat,छेरत
gaarii,गारी
gaari,गारी
daalat,डालत
doraa,डोरा
bhigoyii,भिगोयी
kamajor,कमजोर
bulaat,बुलात
pehnengi,पहनेगी
asire,असीरे
mahamil,महमिल
fariyaadi,फ़रियादी
badnazar,बदनज़र
pahunchoge,पहुँचोगे
lakshya,लक्ष्य
mandlaaye,मंडलाये
baaga,बागा
raatama,रातमा
saahibaan,साहिबां
munhase,मुँहसे
sahibaan,सहिबां
nehara,नेहरा
maaeri,माएरी
angadaayii,अंगड़ायी
beheti,बेहती
behete,बेहते
chhupaayegi,छुपाएगी
banengi,बनेंगी
hitalar,हिटलर
mahaabhaarat,महाभारत
pitaayi,पिटाई
buzadilon,बुज़दिलों
buzdilon,बुज़दिलों
